Indicativo;31/01/2020;29/02/2020;31/03/2020;30/04/2020;31/05/2020;30/06/2020;31/07/2020;31/08/2020;30/09/2020;31/10/2020;30/11/2020;31/12/2020;anual;Año;31/01/2021;28/02/2021;31/03/2021;30/04/2021;31/05/2021;30/06/2021;31/07/2021;31/08/2021;30/09/2021;31/10/2021;30/11/2021;31/12/2021;31/01/2022;28/02/2022;31/03/2022;30/04/2022;31/05/2022;30/06/2022;31/07/2022;31/08/2022;30/09/2022;31/10/2022;30/11/2022;31/12/2022;31/01/2023;28/02/2023;31/03/2023;30/04/2023;31/05/2023;30/06/2023;31/07/2023;31/08/2023;30/09/2023;31/10/2023;30/11/2023;31/12/2023;31/01/2024;29/02/2024;31/03/2024;30/04/2024;31/05/2024;30/06/2024;31/07/2024;31/08/2024;30/09/2024;31/10/2024;30/11/2024;31/12/2024
1082;;;;;;;;;;;;;15.0;2021;8.8;13.1;11.8;12.5;14.9;18.6;19.7;20.0;20.9;16.2;10.8;12.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2331;;;;;;;;;;;;;11.0;2021;2.1;7.1;7.0;8.3;12.3;16.6;19.0;20.1;17.1;11.5;5.2;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3469A;;;;;;;;;;;;;16.7;2021;7.2;11.3;12.1;15.3;18.3;22.6;25.6;26.9;21.8;18.3;10.4;11.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5973;;;;;;;;;;;;;19.3;2021;12.1;15.6;16.2;18.3;20.5;22.5;24.6;25.0;24.0;21.8;15.4;15.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5960;;;;;;;;;;;;;;2021;9.6;13.4;14.1;17.2;;22.5;25.6;26.2;23.7;20.4;;13.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5910;;;;;;;;;;;;;18.6;2021;10.7;14.5;15.0;17.7;20.0;22.1;25.0;25.2;23.5;21.1;14.0;14.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6001;;;;;;;;;;;;;;2021;;13.6;13.8;15.9;18.0;20.2;21.9;23.2;21.8;19.7;;13.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111;;;;;;;;;;;;;14.9;2021;9.6;13.3;12.3;12.6;14.2;17.5;18.9;19.7;19.5;16.8;11.9;12.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1109;;;;;;;;;;;;;15.1;2021;9.2;13.1;12.3;13.1;15.2;18.5;19.8;20.1;20.1;16.4;11.7;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8500A;;;;;;;;;;;;;18.3;2021;11.4;13.9;13.1;14.6;19.3;23.7;25.6;26.1;24.0;19.7;14.5;13.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5000C;;;;;;;;;;;;;19.1;2021;13.4;14.9;15.2;17.0;19.9;21.9;25.1;25.5;23.8;21.1;16.1;15.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4121;;;;;;;;;;;;;16.3;2021;5.6;10.5;11.3;14.1;18.9;23.7;27.2;27.5;21.7;17.1;8.9;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5402;;;;;;;;;;;;;;2021;8.7;12.9;14.2;17.6;20.9;24.9;;28.9;24.8;20.5;11.9;11.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8096;;;;;;;;;;;;;14.4;2021;4.1;8.8;9.7;11.6;16.4;21.0;24.8;25.6;19.8;15.3;7.6;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1014;;;;;;;;;;;;;15.2;2021;8.2;13.3;11.9;13.5;15.4;19.4;20.5;20.7;20.6;16.5;11.0;11.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1024E;;;;;;;;;;;;;13.8;2021;7.5;12.2;11.0;11.9;13.6;17.2;18.0;18.5;19.0;15.5;9.7;11.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0367;;;;;;;;;;;;;;2021;6.4;;10.2;12.1;16.3;23.0;24.6;24.4;22.3;16.5;10.5;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5530E;;;;;;;;;;;;;16.6;2021;7.2;10.8;11.6;14.4;18.8;23.0;27.0;27.2;22.8;18.1;9.4;9.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5514;;;;;;;;;;;;;16.3;2021;7.0;10.7;11.1;13.8;18.2;22.3;26.6;26.9;22.4;17.9;9.4;9.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3013;;;;;;;;;;;;;11.0;2021;-0.7;7.2;6.7;9.6;13.6;17.8;20.0;20.9;16.4;11.0;4.1;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4642E;;;;;;;;;;;;;18.8;2021;10.6;13.9;15.2;17.7;20.5;22.5;25.9;26.3;24.0;21.3;14.0;14.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9898;;;;;;;;;;;;;14.3;2021;4.0;9.8;10.4;11.9;16.2;21.5;23.9;24.1;20.6;15.1;8.2;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5270B;;;;;;;;;;;;;;2021;8.5;12.3;13.6;15.7;;23.9;28.2;28.4;23.8;19.8;10.8;11.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9170;;;;;;;;;;;;;14.3;2021;6.1;9.9;10.3;12.1;16.2;20.7;22.8;23.5;20.2;14.3;8.8;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C249I;;;;;;;;;;;;;;2021;18.1;18.1;;;21.5;22.4;24.3;24.4;24.7;;20.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C649I;;;;;;;;;;;;;;2021;;18.3;;;;22.6;24.0;25.1;24.7;;20.4;19.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C029O;;;;;;;;;;;;;;2021;17.5;17.6;;20.6;21.8;23.1;24.8;26.0;25.4;23.6;;18.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2661;;;;;;;;;;;;;11.9;2021;3.3;6.7;8.3;10.4;13.1;17.3;19.4;20.6;16.8;13.2;6.6;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1549;;;;;;;;;;;;;13.8;2021;4.7;8.9;10.7;13.5;15.2;19.2;21.4;22.6;18.6;14.7;7.7;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9771C;;;;;;;;;;;;;15.8;2021;5.0;11.0;11.7;13.5;18.5;23.7;25.9;25.8;22.7;16.3;8.8;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1505;;;;;;;;;;;;;12.5;2021;5.8;9.6;8.9;11.3;12.9;16.0;18.2;19.1;17.3;13.8;7.9;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3191E;;;;;;;;;;;;;13.8;2021;4.1;8.1;9.3;10.9;15.5;20.3;23.7;25.1;18.6;15.1;7.4;7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3129;;;;;;;;;;;;;14.9;2021;3.2;9.3;10.0;12.7;17.6;22.4;25.0;26.2;20.5;15.5;8.2;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3196;;;;;;;;;;;;;15.8;2021;4.6;10.3;11.4;13.6;18.2;22.7;25.8;27.2;21.0;16.8;9.2;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3200;;;;;;;;;;;;;15.9;2021;3.7;10.5;11.4;13.5;18.4;23.0;26.1;27.6;21.3;17.0;9.3;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3195;;;;;;;;;;;;;;2021;4.4;10.2;11.3;13.1;;22.3;25.7;27.1;20.7;16.4;8.9;9.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3175;;;;;;;;;;;;;;2021;2.7;8.8;;11.6;16.2;20.6;23.3;;20.3;;8.1;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2462;;;;;;;;;;;;;7.7;2021;-1.3;2.3;3.2;5.3;8.4;13.4;16.6;19.0;12.3;9.9;0.6;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6155A;;;;;;;;;;;;;19.6;2021;12.4;14.7;14.9;17.6;20.4;23.9;27.3;27.5;24.9;21.1;15.4;14.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6000A;;;;;;;;;;;;;;2021;13.9;15.4;15.2;17.2;20.1;22.7;26.3;26.4;24.4;;16.3;15.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7178I;;;;;;;;;;;;;19.7;2021;11.3;14.8;14.3;16.8;21.2;24.7;28.6;29.1;26.2;21.0;14.6;13.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7228;;;;;;;;;;;;;19.2;2021;10.4;14.0;13.8;16.6;20.9;24.3;28.2;28.9;25.9;20.3;14.1;13.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7031;;;;;;;;;;;;;18.3;2021;11.1;13.5;13.4;16.0;18.9;22.5;25.5;26.5;24.3;20.0;14.3;13.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9263D;;;;;;;;;;;;;;2021;4.8;9.8;9.3;10.6;14.4;18.9;;21.6;19.6;13.6;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9262;;;;;;;;;;;;;;2021;5.8;;10.1;11.5;15.0;19.6;21.5;21.7;20.0;14.6;8.4;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1690A;;;;;;;;;;;;;15.5;2021;7.5;11.1;12.0;14.7;16.3;20.0;21.9;23.2;20.6;17.0;10.5;11.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1484C;;;;;;;;;;;;;15.0;2021;8.4;11.7;12.5;14.5;14.5;18.2;19.4;20.1;19.6;17.0;11.5;12.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1495;;;;;;;;;;;;;;2021;7.8;10.9;;14.2;14.0;18.1;19.1;20.1;18.9;16.3;;11.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2867;;;;;;;;;;;;;12.4;2021;2.6;8.6;8.3;11.4;14.3;18.8;20.5;21.7;17.5;13.4;5.4;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2870;;;;;;;;;;;;;14.1;2021;4.6;9.8;10.2;12.8;15.8;20.4;22.7;23.6;19.0;15.3;7.4;8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C929I;;;;;;;;;;;;;21.5;2021;19.2;18.8;19.4;20.7;21.0;21.9;22.8;24.3;25.1;23.5;21.5;20.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C430E;;;;;;;;;;;;;10.9;2021;5.4;5.2;6.4;8.1;11.3;14.3;19.7;17.2;15.7;13.9;7.1;6.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C139E;;;;;;;;;;;;;;2021;18.2;18.1;18.8;20.0;;21.6;23.0;24.6;24.6;23.1;20.6;19.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C449C;;;;;;;;;;;;;22.0;2021;18.6;18.6;19.6;20.9;22.2;23.2;25.3;26.0;25.4;23.7;20.8;19.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C447A;;;;;;;;;;;;;17.4;2021;14.0;13.6;14.0;16.0;16.8;18.8;20.7;22.5;21.4;20.0;15.7;14.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C429I;;;;;;;;;;;;;;2021;18.4;18.5;19.0;20.6;;22.4;24.4;25.6;25.3;23.7;20.8;19.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2465;;;;;;;;;;;;;12.7;2021;3.3;8.6;8.4;10.4;14.0;18.7;21.4;23.1;17.8;14.2;5.2;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5796;;;;;;;;;;;;;19.5;2021;10.3;13.7;15.1;17.9;21.3;24.3;28.3;28.9;25.3;21.8;13.4;13.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5783;;;;;;;;;;;;;;2021;10.3;14.0;;18.3;21.4;24.6;;28.7;;;13.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;;;;;;;;;;;;;11.7;2021;2.0;7.4;7.5;9.7;12.8;17.2;20.2;21.7;17.3;12.4;5.9;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0016A;;;;;;;;;;;;;;2021;8.3;12.0;;13.3;17.9;23.0;25.1;25.5;23.4;17.8;11.7;11.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9981A;;;;;;;;;;;;;18.3;2021;10.5;13.2;14.1;15.0;20.0;24.7;26.8;26.7;24.0;19.1;13.4;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9381I;;;;;;;;;;;;;12.3;2021;0.5;8.6;7.7;9.9;14.6;19.1;21.9;22.5;18.1;12.8;5.3;6.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8368U;;;;;;;;;;;;;13.2;2021;1.4;8.8;8.6;10.9;15.6;19.7;23.0;23.4;18.9;14.1;6.7;7.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3260B;;;;;;;;;;;;;;2021;4.3;11.2;12.0;14.6;19.2;23.7;27.1;28.3;;17.4;9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8416;;;;;;;;;;;;;18.7;2021;11.6;14.6;13.4;15.1;19.8;23.4;25.9;26.4;24.4;20.2;14.9;14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8414A;;;;;;;;;;;;;18.1;2021;10.1;13.7;12.6;14.5;19.6;23.3;25.9;26.5;24.0;19.6;13.8;13.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2422;;;;;;;;;;;;;13.5;2021;3.5;9.1;9.8;11.7;15.4;20.0;22.4;23.3;18.9;14.4;6.3;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2539;;;;;;;;;;;;;12.0;2021;2.5;8.1;8.2;9.9;13.1;18.0;20.2;21.3;17.5;12.9;5.2;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2614;;;;;;;;;;;;;13.8;2021;3.9;9.2;9.9;12.3;16.0;20.3;22.8;23.4;19.2;14.8;6.8;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9390;;;;;;;;;;;;;13.1;2021;2.0;9.4;8.4;10.8;15.4;19.8;22.7;23.1;18.8;13.3;6.1;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9434;;;;;;;;;;;;;16.2;2021;7.0;11.6;12.0;13.7;18.6;23.3;25.8;25.8;22.2;16.4;10.2;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1387;;;;;;;;;;;;;15.9;2022;;;;;;;;;;;;;11.4;11.9;12.8;13.2;17.0;18.2;20.4;20.2;19.6;18.3;14.9;13.2;;;;;;;;;;;;;;;;;;;;;;;;
1387E;;;;;;;;;;;;;;2022;;;;;;;;;;;;;9.2;9.9;;11.8;16.0;17.6;20.6;20.8;18.7;17.4;13.3;11.7;;;;;;;;;;;;;;;;;;;;;;;;
1428;;;;;;;;;;;;;14.1;2022;;;;;;;;;;;;;8.4;9.2;10.1;11.2;16.0;16.5;21.5;21.1;17.5;15.8;11.3;10.3;;;;;;;;;;;;;;;;;;;;;;;;
8175;;;;;;;;;;;;;16.3;2022;;;;;;;;;;;;;5.4;9.1;9.6;11.0;19.1;24.9;27.8;26.3;21.8;18.7;11.8;10.1;;;;;;;;;;;;;;;;;;;;;;;;
8178D;;;;;;;;;;;;;16.8;2022;;;;;;;;;;;;;6.4;9.9;9.7;11.4;19.6;25.2;28.1;26.6;22.2;19.0;12.5;10.5;;;;;;;;;;;;;;;;;;;;;;;;
8025;;;;;;;;;;;;;19.7;2022;;;;;;;;;;;;;10.8;13.2;14.0;16.1;21.0;25.2;27.6;28.2;25.3;21.8;17.7;14.9;;;;;;;;;;;;;;;;;;;;;;;;
8019;;;;;;;;;;;;;19.4;2022;;;;;;;;;;;;;10.8;12.6;13.5;15.1;20.5;24.9;28.1;28.2;25.2;21.7;17.3;14.6;;;;;;;;;;;;;;;;;;;;;;;;
6325O;;;;;;;;;;;;;20.2;2022;;;;;;;;;;;;;13.2;14.2;15.6;16.0;21.2;24.2;28.2;29.0;24.4;23.2;18.0;15.5;;;;;;;;;;;;;;;;;;;;;;;;
9091O;;;;;;;;;;;;;13.5;2022;;;;;;;;;;;;;4.9;6.7;8.7;9.8;16.0;19.5;21.0;22.2;17.2;17.4;9.9;8.8;;;;;;;;;;;;;;;;;;;;;;;;
1212E;;;;;;;;;;;;;;2022;;;;;;;;;;;;;9.3;10.2;11.0;;;17.4;19.6;19.9;;17.5;13.5;;;;;;;;;;;;;;;;;;;;;;;;;
1208H;;;;;;;;;;;;;16.1;2022;;;;;;;;;;;;;10.9;11.7;12.5;12.8;16.6;18.5;21.1;21.4;19.7;19.2;14.9;13.6;;;;;;;;;;;;;;;;;;;;;;;;
1249I;;;;;;;;;;;;;14.5;2022;;;;;;;;;;;;;7.9;9.5;10.9;11.5;15.7;17.7;20.8;20.5;18.1;17.9;12.3;10.9;;;;;;;;;;;;;;;;;;;;;;;;
2444;;;;;;;;;;;;;13.3;2022;;;;;;;;;;;;;4.2;6.4;6.6;8.4;16.4;20.0;24.9;23.7;17.0;15.5;8.9;7.4;;;;;;;;;;;;;;;;;;;;;;;;
4452;;;;;;;;;;;;;18.5;2022;;;;;;;;;;;;;8.9;11.2;12.9;15.0;22.3;24.2;29.4;27.2;23.2;20.8;14.1;12.9;;;;;;;;;;;;;;;;;;;;;;;;
B954;;;;;;;;;;;;;;2022;;;;;;;;;;;;;10.3;11.8;13.7;14.5;19.2;24.0;26.7;27.7;;;17.4;14.6;;;;;;;;;;;;;;;;;;;;;;;;
B893;;;;;;;;;;;;;18.6;2022;;;;;;;;;;;;;9.5;10.9;12.5;14.1;19.8;24.7;26.5;28.0;25.9;20.7;16.2;13.8;;;;;;;;;;;;;;;;;;;;;;;;
B278;;;;;;;;;;;;;18.4;2022;;;;;;;;;;;;;9.0;10.6;12.8;14.5;19.9;24.4;26.9;27.3;24.4;21.2;16.4;13.8;;;;;;;;;;;;;;;;;;;;;;;;
B228;;;;;;;;;;;;;;2022;;;;;;;;;;;;;11.7;13.3;14.4;16.1;21.2;25.7;28.6;29.0;;23.4;18.7;15.9;;;;;;;;;;;;;;;;;;;;;;;;
0200E;;;;;;;;;;;;;18.1;2022;;;;;;;;;;;;;10.2;11.9;10.8;14.1;20.8;24.7;26.8;27.2;22.5;20.7;15.2;12.7;;;;;;;;;;;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;2022;;;;;;;;;;;;;9.5;12.0;13.0;;;24.8;27.0;27.3;24.0;21.2;16.2;12.6;;;;;;;;;;;;;;;;;;;;;;;;
1082;;;;;;;;;;;;;16.3;2022;;;;;;;;;;;;;8.8;10.1;12.8;12.7;17.8;20.3;22.6;23.4;20.2;20.7;14.0;12.4;;;;;;;;;;;;;;;;;;;;;;;;
2331;;;;;;;;;;;;;12.3;2022;;;;;;;;;;;;;3.2;5.0;6.6;8.1;14.7;19.0;21.8;21.9;16.7;15.4;8.0;7.2;;;;;;;;;;;;;;;;;;;;;;;;
3469A;;;;;;;;;;;;;17.9;2022;;;;;;;;;;;;;8.4;10.9;11.5;13.5;21.1;24.0;29.9;27.9;22.4;20.4;13.1;12.0;;;;;;;;;;;;;;;;;;;;;;;;
5973;;;;;;;;;;;;;20.0;2022;;;;;;;;;;;;;13.9;15.3;15.1;16.9;21.8;23.4;27.2;25.4;23.1;22.7;18.3;16.7;;;;;;;;;;;;;;;;;;;;;;;;
5960;;;;;;;;;;;;;;2022;;;;;;;;;;;;;11.3;13.3;;;21.8;;28.3;26.6;23.3;23.0;16.4;15.1;;;;;;;;;;;;;;;;;;;;;;;;
5910;;;;;;;;;;;;;19.4;2022;;;;;;;;;;;;;11.9;13.9;14.3;16.2;21.7;23.7;27.8;25.3;22.8;22.5;16.8;15.6;;;;;;;;;;;;;;;;;;;;;;;;
6001;;;;;;;;;;;;;;2022;;;;;;;;;;;;;13.1;13.7;13.4;14.7;;20.8;23.7;24.0;;20.8;16.8;15.6;;;;;;;;;;;;;;;;;;;;;;;;
1111;;;;;;;;;;;;;15.9;2022;;;;;;;;;;;;;10.0;11.1;12.7;12.6;16.3;18.3;20.6;21.3;19.5;20.1;14.6;13.1;;;;;;;;;;;;;;;;;;;;;;;;
1109;;;;;;;;;;;;;16.3;2022;;;;;;;;;;;;;9.1;10.8;13.1;13.3;17.3;19.8;22.0;22.2;20.1;20.7;14.3;12.7;;;;;;;;;;;;;;;;;;;;;;;;
8500A;;;;;;;;;;;;;19.3;2022;;;;;;;;;;;;;10.7;13.1;13.2;15.8;20.5;25.2;27.4;28.2;24.8;21.5;17.0;14.1;;;;;;;;;;;;;;;;;;;;;;;;
5000C;;;;;;;;;;;;;;2022;;;;;;;;;;;;;14.2;15.2;;16.5;20.2;23.3;25.3;25.8;24.3;21.0;18.6;16.8;;;;;;;;;;;;;;;;;;;;;;;;
4121;;;;;;;;;;;;;17.3;2022;;;;;;;;;;;;;6.1;9.8;10.5;12.6;21.0;25.2;29.6;27.9;22.2;19.5;12.5;10.3;;;;;;;;;;;;;;;;;;;;;;;;
5402;;;;;;;;;;;;;19.5;2022;;;;;;;;;;;;;9.6;12.5;13.6;15.2;22.5;25.9;30.4;29.0;24.5;22.2;15.0;13.3;;;;;;;;;;;;;;;;;;;;;;;;
8096;;;;;;;;;;;;;15.7;2022;;;;;;;;;;;;;5.9;8.9;8.4;11.1;19.0;23.6;27.7;26.1;20.4;18.1;10.6;8.7;;;;;;;;;;;;;;;;;;;;;;;;
1014;;;;;;;;;;;;;16.5;2022;;;;;;;;;;;;;8.1;10.4;13.2;13.2;18.2;20.7;22.9;23.6;20.2;20.6;14.2;12.5;;;;;;;;;;;;;;;;;;;;;;;;
1024E;;;;;;;;;;;;;15.1;2022;;;;;;;;;;;;;8.1;9.8;11.7;11.4;16.3;18.7;20.8;21.4;18.6;19.6;13.4;11.9;;;;;;;;;;;;;;;;;;;;;;;;
367;;;;;;;;;;;;;;2022;;;;;;;;;;;;;6.5;;10.7;13.1;19.2;24.9;27.0;26.7;21.9;19.5;;10.6;;;;;;;;;;;;;;;;;;;;;;;;
5530E;;;;;;;;;;;;;17.5;2022;;;;;;;;;;;;;7.2;10.6;11.0;12.7;20.5;24.6;28.7;27.5;22.5;20.7;12.6;11.1;;;;;;;;;;;;;;;;;;;;;;;;
5514;;;;;;;;;;;;;17.3;2022;;;;;;;;;;;;;7.2;10.5;10.8;12.4;19.8;24.4;28.2;27.0;22.5;21.0;12.9;11.2;;;;;;;;;;;;;;;;;;;;;;;;
3013;;;;;;;;;;;;;12.2;2022;;;;;;;;;;;;;2.0;5.2;6.1;8.6;15.4;19.3;22.9;21.8;16.6;14.5;7.6;6.1;;;;;;;;;;;;;;;;;;;;;;;;
4642E;;;;;;;;;;;;;19.5;2022;;;;;;;;;;;;;12.3;14.2;14.4;16.3;21.7;24.3;28.0;25.6;23.7;21.9;16.8;15.0;;;;;;;;;;;;;;;;;;;;;;;;
9898;;;;;;;;;;;;;16.1;2022;;;;;;;;;;;;;5.3;9.0;9.7;12.0;19.9;24.9;26.8;26.8;20.9;19.0;11.1;8.0;;;;;;;;;;;;;;;;;;;;;;;;
5270B;;;;;;;;;;;;;19.1;2022;;;;;;;;;;;;;9.8;12.5;11.9;13.8;22.6;25.7;30.9;28.8;23.4;22.3;14.6;12.5;;;;;;;;;;;;;;;;;;;;;;;;
9170;;;;;;;;;;;;;15.7;2022;;;;;;;;;;;;;6.0;8.5;9.7;12.2;19.0;23.7;25.4;25.3;20.3;18.6;10.9;8.2;;;;;;;;;;;;;;;;;;;;;;;;
C249I;;;;;;;;;;;;;21.8;2022;;;;;;;;;;;;;17.9;19.1;18.6;19.6;21.5;23.1;25.4;24.8;24.8;23.5;22.4;20.3;;;;;;;;;;;;;;;;;;;;;;;;
C649I;;;;;;;;;;;;;;2022;;;;;;;;;;;;;;19.2;;19.6;21.6;22.7;24.8;24.6;24.3;23.5;22.6;;;;;;;;;;;;;;;;;;;;;;;;;
C029O;;;;;;;;;;;;;;2022;;;;;;;;;;;;;18.1;19.8;18.5;20.2;;23.6;;25.9;;24.4;22.3;;;;;;;;;;;;;;;;;;;;;;;;;
2661;;;;;;;;;;;;;;2022;;;;;;;;;;;;;4.8;6.5;7.5;9.3;16.0;18.5;23.4;22.7;16.9;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;
1549;;;;;;;;;;;;;15.0;2022;;;;;;;;;;;;;5.8;8.5;10.1;11.7;18.9;20.2;25.2;24.6;18.8;16.9;10.2;8.9;;;;;;;;;;;;;;;;;;;;;;;;
9771C;;;;;;;;;;;;;17.3;2022;;;;;;;;;;;;;4.3;9.5;11.3;14.1;21.5;26.7;28.0;27.9;22.7;20.2;12.9;8.3;;;;;;;;;;;;;;;;;;;;;;;;
1505;;;;;;;;;;;;;;2022;;;;;;;;;;;;;6.5;7.9;9.0;10.8;15.7;16.9;20.7;;17.2;16.3;10.9;9.3;;;;;;;;;;;;;;;;;;;;;;;;
3191E;;;;;;;;;;;;;15.1;2022;;;;;;;;;;;;;6.7;9.1;7.8;10.4;18.1;22.5;27.4;25.6;19.2;16.8;9.8;7.4;;;;;;;;;;;;;;;;;;;;;;;;
3129;;;;;;;;;;;;;16.4;2022;;;;;;;;;;;;;5.4;8.7;9.8;12.2;19.8;24.3;28.9;27.3;21.3;18.2;11.5;9.2;;;;;;;;;;;;;;;;;;;;;;;;
3196;;;;;;;;;;;;;17.0;2022;;;;;;;;;;;;;7.1;10.1;10.2;12.5;20.4;24.8;29.8;27.9;21.6;18.9;11.8;9.4;;;;;;;;;;;;;;;;;;;;;;;;
3200;;;;;;;;;;;;;17.3;2022;;;;;;;;;;;;;6.9;10.1;10.5;12.9;21.1;25.1;30.1;28.3;22.1;19.3;12.1;9.6;;;;;;;;;;;;;;;;;;;;;;;;
3195;;;;;;;;;;;;;;2022;;;;;;;;;;;;;7.1;10.2;;12.9;20.6;24.8;;27.9;21.5;18.5;;9.4;;;;;;;;;;;;;;;;;;;;;;;;
3175;;;;;;;;;;;;;;2022;;;;;;;;;;;;;4.6;8.8;10.9;11.5;;23.5;28.2;26.9;20.5;17.8;10.7;8.9;;;;;;;;;;;;;;;;;;;;;;;;
2462;;;;;;;;;;;;;9.1;2022;;;;;;;;;;;;;1.3;3.7;1.0;3.3;12.0;15.6;21.8;19.6;12.7;11.0;4.4;3.0;;;;;;;;;;;;;;;;;;;;;;;;
